airport,id,distance,departure_continent,arrival_continent
A. N. R. Robinson International,3171,"1,015nm",Bases,Central America
Abel Santa Maria,3892,"1,290nm",Bases,Central America
Carlos Prates,3114,"2,665nm",Bases,South America
Presidente Jọo Suassuna,1723,"2,767nm",Bases,South America
